u, y
0, 0.0
-0.03, 0.0
-0.03, 0.0
-0.03, 0.09531774371862411
-0.03, 0.43765389919281006
-0.03, 0.07114791125059128
-0.03, 0.07114791125059128
-0.03, 0.10312651097774506
-0.03, 0.22045676410198212
-0.03, 0.59732985496521
-0.03, 0.33602795004844666
-0.03, 0.16872456669807434
-0.03, 0.08529537916183472
-0.03, 0.22045676410198212
-0.03, 0.18862506747245789                                                                                                                                              
-0.03, 0.1661038100719452
-0.03, 0.1767197996377945
-0.03, 0.42632901668548584
-0.03, 0.42632901668548584
-0.03, 0.25515347719192505
-0.03, 0.25515347719192505
0, 0.36106693744659424
0, 0.2900867462158203
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0                                                                                                                                              
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
-0.03, 0.0
-0.03, 0.0
-0.03, 0.0
-0.03, 0.366121381521225
-0.03, 0.366121381521225
-0.03, 0.05171344801783562
-0.03, 0.0
-0.03, 0.09907349944114685
-0.03, 0.23286090791225433
-0.03, 0.7910987138748169
-0.03, 0.366121381521225
-0.03, 0.09818350523710251
-0.03, 0.3108658194541931
-0.03, 0.4555535614490509                                                                                                                                              
-0.03, 0.19080710411071777
-0.03, 0.3087894022464752
-0.03, 0.3087894022464752
-0.03, 0.4197305142879486
-0.03, 0.16814027726650238
-0.03, 0.19584684073925018
0, 0.4449653625488281
0, 0.6103590726852417
0, 0.6031674742698669
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.049904413521289825
0, 0.0
0, 0.0
0, 0.0                                                                                                                                              
0, 0.051382459700107574
0, 0.051382459700107574
0, 0.0
0, 0.0
-0.03, 0.0
-0.03, 0.0
-0.03, 0.12760187685489655
-0.03, 0.12760187685489655
-0.03, 0.25515347719192505
-0.03, 0.04925347864627838
-0.03, 0.0
-0.03, 0.07857228070497513
-0.03, 0.47834745049476624
-0.03, 0.7090442776679993
-0.03, 0.06774885952472687
-0.03, 0.1176949292421341
-0.03, 0.2682715058326721
-0.03, 0.3226543068885803
-0.03, 0.043560631573200226
-0.03, 0.043560631573200226
-0.03, 0.28889182209968567
-0.03, 0.2077825665473938
-0.03, 0.14135554432868958
-0.03, 0.23885507881641388
0, 0.2853250205516815
0, 0.2174164205789566
0, 0.19711817800998688
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0                                                                                                                                              
0, 0.0
0, 0.0
0, 0.0
0, 0.04957848787307739
-0.03, 0.05975668877363205
-0.03, 0.0566161647439003
-0.03, 0.0566161647439003
-0.03, 0.3825080692768097
-0.03, 0.3825080692768097
-0.03, 0.07364977896213531
-0.03, 0.0
-0.03, 0.3510930836200714
-0.03, 0.3510930836200714
-0.03, 0.4625272750854492
-0.03, 0.16668429970741272
-0.03, 0.09034717828035355
-0.03, 0.18185706436634064
-0.03, 0.21910251677036285
-0.03, 0.07857228070497513
-0.03, 0.07937350869178772
-0.03, 0.256632924079895
-0.03, 0.30796122550964355
-0.03, 0.1779213547706604
-0.03, 0.1655244082212448
0, 0.37029069662094116
0, 0.28374841809272766
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
