leg1_x, force1, leg2_x, force2, leg3_x, force3, leg4_x, force4, leg5_x, force5, leg6_x, force6 
0.008538223998876847, 1.8883134126663208, 0.0031571927498876846, 0.5679677724838257, 2.433275285719231e-05, 0.0, 0.0004155495582285603, 0.08747479319572449, 0.007149599234251854, 1.7174159288406372, 0.009428074658841353, 0.0
0.008602775178626988, 1.96584951877594, 0.0031413250555142568, 0.5679677724838257, 2.3116115214332693e-05, 0.0, 0.0004145862791538165, 0.07925679534673691, 0.007209541805574539, 1.6696901321411133, 0.008956670925899284, 0.0
0.008626959830683492, 1.817293643951416, 0.0031262507458595, 0.5679677724838257, 2.196030945361606e-05, 0.0, 0.0004153996260881354, 0.08617064356803894, 0.007227479137569448, 1.5136576890945435, 0.009092507042079907, 2.3346786499023438
0.008649935250137172, 1.817293643951416, 0.0031119301516874813, 0.5679677724838257, 2.0862293980935256e-05, 0.0, 0.0004141690419936113, 0.07815758883953094, 0.00720386643380949, 1.35104501247406, 0.009063451373289282, 1.702278733253479
0.008634870438199466, 1.6697278022766113, 0.003135519764732418, 0.7167444825172424, 2.8294008888600356e-05, 0.03389931842684746, 0.00041337836856471857, 0.07967111468315125, 0.007167781563723858, 1.2964338064193726, 0.00953394468578174, 3.6946635246276855
0.008607116857171221, 1.6159597635269165, 0.003119756310994965, 0.5640501379966736, 2.6879308444170336e-05, 0.0, 0.0004122488473463653, 0.07815758883953094, 0.007124251398959296, 1.2594356536865234, 0.009116517304428919, 0.2370794117450714
0.008599927795976554, 1.6926671266555786, 0.003104781029944385, 0.5640501379966736, 2.5535343021961816e-05, 0.0, 0.00041131294502597733, 0.07870616018772125, 0.007082897742432962, 1.2594356536865234, 0.009581942140158095, 3.6850028038024902
0.008589647674955573, 1.6788650751113892, 0.003095488108603683, 0.5837845206260681, 3.242357867138796e-05, 0.03266001120209694, 0.0004106650764454663, 0.07967111468315125, 0.007050746593724171, 1.2879749536514282, 0.009976620634537213, 3.4951024055480957
0.008551507841723923, 1.5653702020645142, 0.00308393502189527, 0.572885274887085, 3.080239973781856e-05, 0.0, 0.0004098083626701232, 0.07870616018772125, 0.00701750660753047, 1.2771893739700317, 0.010399040303760975, 3.6850028038024902
0.008515275000153855, 1.5653702020645142, 0.0030707508052996747, 0.5640501379966736, 2.926227975092763e-05, 0.0, 0.00041125946108501216, 0.08776606619358063, 0.006980610724041917, 1.2559177875518799, 0.010763409203318256, 3.5372836589813232
